"Old_Name","New_Name","Data_Type_Group","R_Conversion_Action","Description","Note"
"Year","year","Ordered Categorical","factor(year, levels = c('1','2','3','4','5'), ordered = TRUE)","Academic year (1=First-year, 5=Graduated)","Ordered: 1<2<3<4<5"
"Gender","gender","Nominal Categorical","factor(gender)","Gender identity (1=Male, 2=Female)","Binary nominal category"
"Policy_Stu","policy_student","Nominal Categorical","factor(policy_student, levels = c('1','2'))","Government policy support student (1=Yes, 2=No)","Binary nominal category"
"Minority_Stu","minority_student","Nominal Categorical","factor(minority_student, levels = c('1','2'))","Minority status (1=Yes, 2=No)","Binary nominal category"
"Poor_Stu","poor_household","Nominal Categorical","factor(poor_household, levels = c('1','2'))","Poor household status (1=Yes, 2=No)","Binary nominal category"
"Father_Edu","father_education","Ordered Categorical","factor(father_education, levels = c('1','2','3','4','5','6'), ordered = TRUE)","Father's education level (1=Primary to 6=Other)","Ordered: education levels"
"Mother_Edu","mother_education","Ordered Categorical","factor(mother_education, levels = c('1','2','3','4','5','6'), ordered = TRUE)","Mother's education level (1=Primary to 6=Other)","Ordered: education levels"
"Father_Occupation","father_occupation","Nominal Categorical","factor(father_occupation, levels = c('1','2','3','4','5'))","Father's occupation (1=Gov employee, 5=Not public)","Nominal: occupation types"
"Mother_Occupation","mother_occupation","Nominal Categorical","factor(mother_occupation, levels = c('1','2','3','4','5'))","Mother's occupation (1=Gov employee, 5=Not public)","Nominal: occupation types"
"Time_Friends","time_friends","Ordered Categorical","factor(time_friends, levels = c('1','2','3','4','5'), ordered = TRUE)","Time with friends per day (1=under 1h, 5=over 4h)","Ordered: time categories"
"Time_SocicalMedia","time_social_media","Ordered Categorical","factor(time_social_media, levels = c('1','2','3','4','5'), ordered = TRUE)","Time on social media per day (1=under 1h, 5=over 4h)","Ordered: time categories"
"Time_Studying","time_studying","Ordered Categorical","factor(time_studying, levels = c('1','2','3','4','5'), ordered = TRUE)","Study time per day (1=under 2h, 5=over 8h)","Ordered: time categories"
"GPA","gpa","Numeric","as.numeric(gpa)  # Keep numeric for analysis","Cumulative GPA (numeric, 0-4 scale)","Keep numeric for regression/correlation"
"Adapt_Learning_Uni","adapt_uni","Numeric","as.numeric(adapt_uni)  # Likert scale (1-5)","Adaptation to university learning environment (1-5)","Likert scale - treat as continuous"
"Study_Methods","study_methods","Numeric","as.numeric(study_methods)  # Likert scale (1-5)","Study methods effectiveness (1-5)","Likert scale - treat as continuous"
"SupportOf_Uni","uni_support","Numeric","as.numeric(uni_support)  # Likert scale (1-5)","University support perception (1-5)","Likert scale - treat as continuous"
"SupportOf_Lec","lecturer_support","Numeric","as.numeric(lecturer_support)  # Likert scale (1-5)","Lecturer support perception (1-5)","Likert scale - treat as continuous"
"Facilitie_Uni","facilities","Numeric","as.numeric(facilities)  # Likert scale (1-5)","University facilities responsiveness (1-5)","Likert scale - treat as continuous"
"Quality_Lecturer","lecturer_quality","Numeric","as.numeric(lecturer_quality)  # Likert scale (1-5)","Lecturer quality (1-5)","Likert scale - treat as continuous"
"TrainingCurriculum","curriculum","Numeric","as.numeric(curriculum)  # Likert scale (1-5)","Curriculum suitability (1-5)","Likert scale - treat as continuous"
"Competitive_Class","class_competition","Numeric","as.numeric(class_competition)  # Likert scale (1-5)","Class competition effect (1-5)","Likert scale - treat as continuous"
"InfuenceF_Friends","peer_influence","Numeric","as.numeric(peer_influence)  # Likert scale (1-5)","Peer influence on outcomes (1-5)","Likert scale - treat as continuous"
"Derived from GPA","gpa_cat","Ordered Categorical","cut(gpa, breaks = c(0, 2.0, 2.5, 3.2, 3.6, 4.0), labels = c('Poor','Average','Fair','Good','Excellent'), ordered_result = TRUE)","Categorical GPA based on survey categories (1=Poor to 5=Excellent)","Derived variable from numeric gpa"
